OrderNumber;OrderState;SellerProductId;ProductCondition;AcceptationState;
1802140924PC6R3;Shipped;161355;New;ShippedBySeller;
1802132135PACO6;Shipped;139312;New;ShippedBySeller;
1802132135PACO6;Shipped;;None;ShippedBySeller;
1802130439P44O0;Shipped;140210;New;ShippedBySeller;
1802130439P44O0;Shipped;;None;ShippedBySeller;
1802121431OYT0A;Shipped;150953;New;ShippedBySeller;
1802121431OYT0A;Shipped;;None;ShippedBySeller;
1802121257OY0FF;Shipped;162357;New;ShippedBySeller;
1802121257OY0FF;Shipped;;None;ShippedBySeller;
1802111156ONFBZ;Shipped;139312;New;ShippedBySeller;
1802111156ONFBZ;Shipped;;None;ShippedBySeller;
1802092308OB7EH;Shipped;138435;New;ShippedBySeller;
1802092308OB7EH;Shipped;;None;ShippedBySeller;
1802091646O83Q5;Shipped;116223;New;ShippedBySeller;
1802091646O83Q5;Shipped;;None;ShippedBySeller;
1802081737NZYYR;Shipped;138435;New;ShippedBySeller;
1802081737NZYYR;Shipped;;None;ShippedBySeller;
1802072245NSUC7;Shipped;150795;New;ShippedBySeller;
1802072245NSUC7;Shipped;;None;ShippedBySeller;
1802071858NQDCC;Shipped;150795;New;ShippedBySeller;
1802071858NQDCC;Shipped;;None;ShippedBySeller;
1802061358NDBUN;Shipped;105631;New;ShippedBySeller;
1802061358NDBUN;Shipped;;None;ShippedBySeller;
1802061343ND6JA;Shipped;105631;New;ShippedBySeller;
1802061332ND2FK;Shipped;163284;New;ShippedBySeller;
1802061332ND2FK;Shipped;;None;ShippedBySeller;
1802060617N9RK3;Shipped;162357;New;ShippedBySeller;
1802051540N3L80;Shipped;161355;New;ShippedBySeller;
1802051540N3L80;Shipped;;None;ShippedBySeller;
1802031701MK55D;Shipped;148881;New;ShippedBySeller;
1802031627MJTMZ;Shipped;163827;New;ShippedBySeller;
1802021646MBH4A;Shipped;148881;New;ShippedBySeller;
1802021354MA0NP;Shipped;117114;New;ShippedBySeller;
1802021354MA0NP;Shipped;;None;ShippedBySeller;
1802020949M7VTY;Shipped;148881;New;ShippedBySeller;
1801311631LSJEH;Shipped;117114;New;ShippedBySeller;
1801302205LMJZD;Shipped;150952;New;ShippedBySeller;
1801302205LMJZD;Shipped;;None;ShippedBySeller;
1801302127LM5XJ;Shipped;178118;New;ShippedBySeller;
1801302127LM5XJ;Shipped;;None;ShippedBySeller;
1801301551LJ236;Shipped;108511;New;ShippedBySeller;
1801301551LJ236;Shipped;;None;ShippedBySeller;
1801281212KY9YX;Shipped;168719;New;ShippedBySeller;
1801281152KY1LU;Shipped;150952;New;ShippedBySeller;
1801281152KY1LU;Shipped;;None;ShippedBySeller;
1801280120KVTTQ;Shipped;115744;New;ShippedBySeller;
1801280120KVTTQ;Shipped;;None;ShippedBySeller;
1801271105KP181;Shipped;148878;New;ShippedBySeller;
1801260941KH50G;Shipped;149266;New;ShippedBySeller;
1801260941KH50G;Shipped;;None;ShippedBySeller;
1801260844KGVDU;Shipped;168719;New;ShippedBySeller;
1801242016K6441;Shipped;143834;New;ShippedBySeller;
1801241426K2Y4N;Shipped;124470;New;RefundedAfterShipping;
1801221217JJ5AT;Shipped;164867;New;ShippedBySeller;
1801221217JJ5AT;Shipped;;None;ShippedBySeller;
1801190955IPQOO;Shipped;162357;New;ShippedBySeller;
1801172216ICTGX;Shipped;148878;New;ShippedBySeller;
1801161838HYQF2;Shipped;148878;New;ShippedBySeller;
1801161308HV36E;Shipped;117114;New;ShippedBySeller;
