OrderNumber;OrderState;SellerProductId;ProductCondition;AcceptationState;
1801181103IH1UA;WaitingForShipmentAcceptation;svip_S1104411;New;AcceptedBySeller;
1801181037IGS4X;WaitingForShipmentAcceptation;svip_S0407555;New;AcceptedBySeller;
1801181018IGLGA;WaitingForShipmentAcceptation;svip_V0100326;New;AcceptedBySeller;
1801181018IGLGA;WaitingForShipmentAcceptation;;None;AcceptedBySeller;
1801181016IGKTJ;WaitingForShipmentAcceptation;svip_GYMFORM10;New;AcceptedBySeller;
1801180934IG82C;WaitingForShipmentAcceptation;F1520309;New;AcceptedBySeller;
1801180907IG1RY;WaitingForShipmentAcceptation;svip_V1700143;New;AcceptedBySeller;
1801180903IG0Z4;WaitingForShipmentAcceptation;svip_V0100381;New;AcceptedBySeller;
1801180842IFWZ5;WaitingForShipmentAcceptation;F1520262;New;AcceptedBySeller;
1801180832IFV6U;WaitingForShipmentAcceptation;svip_S0407561;New;AcceptedBySeller;
1801180832IFV6U;WaitingForShipmentAcceptation;;None;AcceptedBySeller;
1801180021IEAGO;WaitingForShipmentAcceptation;svip_B0505138;New;AcceptedBySeller;
1801180017IE9EQ;WaitingForShipmentAcceptation;svip_RAN2574;New;AcceptedBySeller;
1801172212ICRGC;WaitingForShipmentAcceptation;svip_H2500181;New;AcceptedBySeller;
1801172109IBTES;WaitingForShipmentAcceptation;svip_S0409740;New;AcceptedBySeller;
1801172105IBR0B;WaitingForShipmentAcceptation;svip_S0407853;New;AcceptedBySeller;
1801171605I7RZI;WaitingForShipmentAcceptation;svip_D1510126;New;AcceptedBySeller;
1801151458HKSE7;WaitingForShipmentAcceptation;svip_S0521645;New;AcceptedBySeller;
1801141734H9MZF;WaitingForShipmentAcceptation;svip_S0407853;New;AcceptedBySeller;
1801141734H9MZF;WaitingForShipmentAcceptation;;None;AcceptedBySeller;
1801100306F7AHP;WaitingForShipmentAcceptation;svip_S0521645;New;AcceptedBySeller;
